AP SCORES,AMERICAN INDIAN/ALASKA NATIVE MALES 5,AMERICAN INDIAN/ALASKA NATIVE MALES 4,AMERICAN INDIAN/ALASKA NATIVE MALES 3,AMERICAN INDIAN/ALASKA NATIVE MALES 2,AMERICAN INDIAN/ALASKA NATIVE MALES 1,ASIAN MALES 5,ASIAN MALES 4,ASIAN MALES 3,ASIAN MALES 2,ASIAN MALES 1,BLACK MALES 5,BLACK MALES 4,BLACK MALES 3,BLACK MALES 2,BLACK MALES 1,HISPANIC/LATINO MALES 5,HISPANIC/LATINO MALES 4,HISPANIC/LATINO MALES 3,HISPANIC/LATINO MALES 2,HISPANIC/LATINO MALES 1,NATIVE HAWAIIAN/OTH PACF ISL MALES 5,NATIVE HAWAIIAN/OTH PACF ISL MALES 4,NATIVE HAWAIIAN/OTH PACF ISL MALES 3,NATIVE HAWAIIAN/OTH PACF ISL MALES 2,NATIVE HAWAIIAN/OTH PACF ISL MALES 1,WHITE MALES 5,WHITE MALES 4,WHITE MALES 3,WHITE MALES 2,WHITE MALES 1,TWO OR MORE RACES MALES 5,TWO OR MORE RACES MALES 4,TWO OR MORE RACES MALES 3,TWO OR MORE RACES MALES 2,TWO OR MORE RACES MALES 1,NO RESPONSE MALES 5,NO RESPONSE MALES 4,NO RESPONSE MALES 3,NO RESPONSE MALES 2,NO RESPONSE MALES 1,AMERICAN INDIAN/ALASKA NATIVE FEMALES 5,AMERICAN INDIAN/ALASKA NATIVE FEMALES 4,AMERICAN INDIAN/ALASKA NATIVE FEMALES 3,AMERICAN INDIAN/ALASKA NATIVE FEMALES 2,AMERICAN INDIAN/ALASKA NATIVE FEMALES 1,ASIAN FEMALES 5,ASIAN FEMALES 4,ASIAN FEMALES 3,ASIAN FEMALES 2,ASIAN FEMALES 1,BLACK FEMALES 5,BLACK FEMALES 4,BLACK FEMALES 3,BLACK FEMALES 2,BLACK FEMALES 1,HISPANIC/LATINO FEMALES 5,HISPANIC/LATINO FEMALES 4,HISPANIC/LATINO FEMALES 3,HISPANIC/LATINO FEMALES 2,HISPANIC/LATINO FEMALES 1,NATIVE HAWAIIAN/OTH PACF ISL FEMALES 5,NATIVE HAWAIIAN/OTH PACF ISL FEMALES 4,NATIVE HAWAIIAN/OTH PACF ISL FEMALES 3,NATIVE HAWAIIAN/OTH PACF ISL FEMALES 2,NATIVE HAWAIIAN/OTH PACF ISL FEMALES 1,WHITE FEMALES 5,WHITE FEMALES 4,WHITE FEMALES 3,WHITE FEMALES 2,WHITE FEMALES 1,TWO OR MORE RACES FEMALES 5,TWO OR MORE RACES FEMALES 4,TWO OR MORE RACES FEMALES 3,TWO OR MORE RACES FEMALES 2,TWO OR MORE RACES FEMALES 1,NO RESPONSE FEMALES 5,NO RESPONSE FEMALES 4,NO RESPONSE FEMALES 3,NO RESPONSE FEMALES 2,NO RESPONSE FEMALES 1,AMERICAN INDIAN/ALASKA NATIVE ANOTHER 5,AMERICAN INDIAN/ALASKA NATIVE ANOTHER 4,AMERICAN INDIAN/ALASKA NATIVE ANOTHER 3,AMERICAN INDIAN/ALASKA NATIVE ANOTHER 2,AMERICAN INDIAN/ALASKA NATIVE ANOTHER 1,ASIAN ANOTHER 5,ASIAN ANOTHER 4,ASIAN ANOTHER 3,ASIAN ANOTHER 2,ASIAN ANOTHER 1,BLACK ANOTHER 5,BLACK ANOTHER 4,BLACK ANOTHER 3,BLACK ANOTHER 2,BLACK ANOTHER 1,HISPANIC/LATINO ANOTHER 5,HISPANIC/LATINO ANOTHER 4,HISPANIC/LATINO ANOTHER 3,HISPANIC/LATINO ANOTHER 2,HISPANIC/LATINO ANOTHER 1,NATIVE HAWAIIAN/OTH PACF ISL ANOTHER 5,NATIVE HAWAIIAN/OTH PACF ISL ANOTHER 4,NATIVE HAWAIIAN/OTH PACF ISL ANOTHER 3,NATIVE HAWAIIAN/OTH PACF ISL ANOTHER 2,NATIVE HAWAIIAN/OTH PACF ISL ANOTHER 1,WHITE ANOTHER 5,WHITE ANOTHER 4,WHITE ANOTHER 3,WHITE ANOTHER 2,WHITE ANOTHER 1,TWO OR MORE RACES ANOTHER 5,TWO OR MORE RACES ANOTHER 4,TWO OR MORE RACES ANOTHER 3,TWO OR MORE RACES ANOTHER 2,TWO OR MORE RACES ANOTHER 1,NO RESPONSE ANOTHER 5,NO RESPONSE ANOTHER 4,NO RESPONSE ANOTHER 3,NO RESPONSE ANOTHER 2,NO RESPONSE ANOTHER 1
ART: HISTORY,4,11,12,10,10,294,368,353,255,85,19,37,82,89,65,201,330,467,460,273,2,2,6,2,0,530,893,954,758,303,60,81,92,64,25,44,64,78,45,32,9,17,10,21,9,521,726,592,361,129,36,105,166,195,167,331,640,983,891,553,1,1,3,8,2,1311,2019,2207,1490,513,140,260,238,158,61,82,125,127,83,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,2,0,0,0,0,0,2,5,8,2,5,0,0,0,0,0,1,0,2,1,2
BIOLOGY,19,69,154,127,59,3415,5504,5517,2349,464,160,500,1304,1341,647,671,2228,4977,4637,1814,7,19,53,37,10,4367,10851,15697,7765,1605,545,1080,1393,762,191,488,825,948,567,159,23,74,221,215,67,3728,7090,8940,4384,892,208,908,2828,3411,1453,704,2828,8377,9694,4017,5,32,76,74,10,5499,16317,29244,17194,3644,631,1602,2650,1647,435,443,883,1276,883,274,0,0,0,0,0,6,5,0,3,1,0,1,1,3,1,2,3,13,14,2,0,0,0,0,0,14,22,47,22,11,1,5,7,1,3,1,3,4,5,2
CALCULUS AB,48,62,85,101,75,6725,5443,4629,4183,2009,395,622,867,1296,1295,2494,3150,3861,5660,5103,27,35,17,58,31,11981,15090,15857,17661,8980,1144,1218,1290,1439,741,895,857,754,729,387,39,43,52,82,84,7391,5903,4783,4424,2064,544,913,1195,1867,1886,2088,3041,3952,6473,5926,14,23,19,41,22,12375,14365,14418,16027,7686,1230,1297,1312,1500,892,730,605,473,492,286,0,0,0,0,0,4,3,6,8,3,0,0,0,0,0,3,6,4,12,4,0,0,0,0,0,13,21,33,22,19,3,2,4,4,1,1,4,3,1,2
CALCULUS BC,46,20,29,21,12,11062,3180,3074,1929,472,370,272,340,295,154,2263,1187,1569,1413,585,31,15,15,8,6,13148,5993,6918,5279,1421,1429,609,624,450,148,1357,379,385,255,78,27,7,13,19,4,8645,2671,2520,1632,381,337,247,340,319,152,1327,830,1154,1096,505,13,9,6,8,6,8799,4196,4868,3407,891,1072,477,544,383,99,822,221,236,99,33,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,3,2,1,3,1,0,0,0,0,0,23,11,11,11,2,3,1,0,1,1,1,2,1,2,1
CHEMISTRY,15,43,73,68,72,3436,4333,4383,2631,1443,75,212,447,582,824,472,951,2033,2207,3014,7,14,18,23,20,3324,6619,9565,7947,4977,430,651,834,669,488,455,598,604,463,350,5,27,34,72,107,2485,3987,4968,3553,2076,67,204,624,981,1716,299,718,1742,2636,4710,2,9,16,19,30,2082,5240,9690,10149,7201,301,577,908,937,830,284,448,524,442,405,0,0,0,0,0,2,2,1,1,2,0,0,1,3,2,1,2,3,5,0,0,0,0,0,0,6,14,18,12,16,0,3,0,3,5,0,1,1,2,5
CHINESE LANG. & CULTURE,10,2,7,1,2,2436,726,679,139,134,2,1,14,7,23,17,14,48,27,47,0,0,0,0,0,69,94,316,128,193,64,48,69,24,32,280,88,71,15,13,2,1,4,0,3,3261,771,648,146,113,4,6,27,29,48,37,17,56,30,53,1,0,5,0,0,105,114,348,127,175,112,59,79,28,25,325,75,85,17,18,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMPUTER SCIENCE A,26,29,44,19,37,4942,3564,3407,1596,1666,137,212,296,262,621,805,845,1190,865,1709,11,13,8,7,12,5233,4694,5201,3041,3582,586,518,523,288,382,808,552,454,229,284,5,4,7,5,10,2002,1627,1567,696,668,49,84,140,124,318,176,236,365,301,722,3,0,4,1,2,1150,1112,1441,833,1029,200,172,217,100,136,263,166,152,88,71,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,12,3,7,3,5,0,0,0,0,0,2,2,1,2,1
COMPUTER SCI PRINCIPLES,23,86,155,116,81,2300,4537,5815,2276,690,179,631,1394,1369,956,846,2191,4828,3475,1851,12,24,43,24,28,3023,7549,13634,7263,2828,348,763,1374,759,332,352,802,1318,692,326,16,37,70,39,10,1885,3103,2996,976,267,193,554,1172,923,533,619,1513,2865,1839,922,6,6,19,21,7,2077,4088,5447,2365,785,279,506,677,304,148,248,414,437,203,103,0,0,0,0,0,2,4,4,3,2,1,3,5,2,2,0,7,8,11,14,0,0,0,0,0,3,10,34,36,20,0,3,2,1,4,1,4,14,8,12
ECONOMICS: MACRO,21,33,32,33,52,4536,4055,2179,1427,1273,139,357,309,363,706,984,1950,1899,2079,3474,7,13,13,16,16,5895,8890,6708,5320,4823,574,772,561,440,423,508,547,330,221,216,20,21,25,28,43,2937,3099,1905,1520,1462,131,301,374,511,1188,502,1330,1567,2124,5056,9,8,8,12,20,3140,5493,4850,4495,5034,359,593,469,404,604,273,294,170,156,194,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,1,2,2,6,3,0,0,0,0,0,1,8,1,7,6,0,0,0,0,0,1,1,0,2,4
ECONOMICS: MICRO,12,28,16,23,31,3582,2807,1233,819,736,99,216,184,197,368,599,1165,885,943,1725,11,13,5,7,11,4640,7092,4204,3305,2872,430,559,331,250,234,440,426,224,159,124,9,13,10,11,24,2096,2102,1035,806,752,68,202,180,269,489,229,642,644,856,2350,5,8,5,9,8,2021,3701,2682,2605,2743,216,345,226,233,273,208,211,118,106,99,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,1,0,1,4,0,0,0,0,0,5,2,3,3,3,0,0,0,0,0,0,2,0,1,3
ENGLISH LANG&COMPOSITION,75,171,253,372,235,5794,7349,8074,5569,1741,589,1216,2558,3812,3285,2849,5534,9959,12404,8711,28,54,85,107,54,13960,21523,29255,23875,8708,1358,1849,2640,2208,954,1039,1408,1872,1786,946,113,255,461,588,343,7630,9934,11413,7538,2063,1165,3007,6101,8830,6381,4513,10177,19659,23960,13844,36,66,168,177,99,22895,39105,52805,40117,11970,2218,3477,4799,4045,1644,1286,1913,2600,2466,1303,0,1,0,2,2,5,1,9,6,5,2,3,4,8,12,13,12,29,34,32,0,0,0,0,0,53,60,94,100,50,3,6,12,10,12,8,11,22,25,18
ENGLISH LIT&COMPOSITION,13,35,108,145,85,2130,3309,5764,4049,1275,203,588,1715,2576,2440,1296,2943,7644,9142,5885,10,28,46,50,27,6198,11090,21274,16019,5320,561,1004,1804,1665,667,320,508,863,752,329,26,61,210,221,138,3310,5116,8103,5175,1362,474,1399,4175,5899,4794,2237,5566,14330,16206,9338,7,31,76,95,57,11777,21839,38473,25398,6909,1135,2027,3687,2677,1104,453,663,1151,901,432,0,0,0,0,0,5,3,8,4,3,1,6,4,6,3,4,7,15,29,18,0,0,0,0,0,33,31,71,65,26,5,7,4,7,2,2,0,4,7,7
ENVIRONMENTAL SCIENCE,21,76,34,87,108,1780,3290,1225,2063,1312,155,542,332,1055,1501,879,2879,1526,3566,3959,12,33,15,25,24,5239,12082,5238,8817,4538,471,1016,410,793,482,317,638,255,453,365,20,64,39,102,116,1750,3670,1582,2737,1975,177,691,518,1611,2790,926,3280,1944,5373,7466,6,28,17,43,53,6263,15147,6765,12398,7604,625,1376,626,1186,889,313,561,264,478,468,0,0,0,0,0,3,5,1,2,2,0,3,1,3,6,2,4,1,8,14,0,0,0,0,0,12,35,15,23,14,5,5,2,4,1,0,5,2,12,3
EUROPEAN HISTORY,30,32,57,96,46,1377,1603,1747,1470,412,66,143,268,429,274,555,981,1586,2378,1262,9,18,28,32,17,3212,5046,6585,6977,2081,317,405,555,595,197,329,403,498,593,198,24,40,52,111,49,1538,1824,1770,1605,507,106,248,430,707,466,626,1215,2054,3511,2326,6,14,22,34,16,3685,5664,6807,7309,2303,391,590,716,764,291,315,386,452,487,274,0,0,0,0,0,1,1,2,7,0,0,1,1,2,1,2,2,3,17,8,0,0,0,0,0,10,13,14,26,14,1,2,2,2,2,1,3,6,7,5
FRENCH LANG. & CULTURE,0,7,4,2,2,178,313,264,117,31,94,142,124,77,33,174,229,319,179,86,5,1,2,0,0,809,1015,959,384,151,90,104,96,50,12,88,75,67,28,11,2,6,10,3,3,322,695,596,207,58,205,252,252,152,67,269,587,676,365,153,0,4,3,1,2,1493,2448,2179,921,311,203,254,256,90,29,133,139,90,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,8,1,1,0,0,0,0,0,0,0,0,0,0
GERMAN LANG. & CULTURE,2,3,1,1,2,41,72,47,47,11,5,9,7,10,3,31,50,28,29,27,0,0,0,0,0,306,557,280,376,142,23,45,27,23,8,24,27,14,17,5,0,1,1,2,1,34,78,28,33,10,6,16,4,6,5,25,55,22,40,19,0,0,0,0,0,410,608,264,318,84,33,45,29,23,8,28,16,6,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
