Full Name,First Name,Last Name,District / State,Type,Party,First Elected,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2020 Incumbent,Senate Class,Birthday,Age,Twitter,Facebook,YouTube,Prior Experience,Education,Veteran?
Abigail Spanberger,Abigail,Spanberger,Virginia's 7th,Representative,Democratic,2018,Woman,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,8/7/1979,41,RepSpanberger,,,CIA operations officer,University of Virginia (BA)Purdue University (MBA),No
Adam Kinzinger,Adam,Kinzinger,Illinois' 16th,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,2/27/1978,43,RepKinzinger,RepKinzinger,RepAdamKinzinger,McLean County Board of CommissionersAir Force pilot,Illinois State University (BA),Yes
Adam Schiff,Adam,Schiff,California's 28th,Representative,Democratic,2000,Man,White - Non-Hispanic,Jewish,No,Won,N/A,6/22/1960,61,RepAdamSchiff,RepAdamSchiff,adamschiff,California State SenateAssistant Prosecutor for theUnited States Attorney for the Southern District of California,Stanford University (BA)Harvard University (JD),No
Adam Smith,Adam,Smith,Washington's 9th,Representative,Democratic,1996,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,6/15/1965,56,RepAdamSmith,RepAdamSmith,CongressmanAdamSmith,Washington State Senate,Western Washington UniversityFordham University (BA)University of Washington (JD),No
Adrian Smith,Adrian,Smith,Nebraska's 3rd,Representative,Republican,2006,Man,White - Non-Hispanic,Christian - Evangelical Protestant - Free Church,No,Won,N/A,12/19/1970,50,RepAdrianSmith,,RepAdrianSmith,Nebraska LegislatureGering City Council,Liberty UniversityUniversity of Nebraska–Lincoln (BA),No
Adriano Espaillat,Adriano,Espaillat,New York's 13th,Representative,Democratic,2016,Man,Hispanic - Dominican,Christian - Roman Catholic,No,Won,N/A,9/27/1954,66,RepEspaillat,RepEspaillat,,New York State SenateNew York State Assembly,"Queens College, City University of New York (BA)",No
Al Green,Al,Green,Texas' 9th,Representative,Democratic,2004,Man,Black - African-American,Christian - Protestant - Southern Baptist,No,Won,N/A,9/1/1947,73,RepAlGreen,repalgreen,RepAlGreen,Harris County Justice of the PeaceHouston NAACP president,Florida A&M UniversityTuskeegee University (BA)Texas Southern University (JD),No
Al Lawson,Al,Lawson,Florida's 5th,Representative,Democratic,2016,Man,Black - African-American,Christian - Protestant - Episcopalian,No,Won,N/A,9/23/1948,72,RepAlLawsonJr,RepAlLawsonJr,,Florida Senate,Florida A&M University (BA)Florida State University (MPA),No
Alan Lowenthal,Alan,Lowenthal,California's 47th,Representative,Democratic,2012,Man,White - Non-Hispanic,Jewish,No,Won,N/A,3/8/1941,80,RepLowenthal,RepLowenthal,RepLowenthal,California State SenateCalifornia State Assembly,"Hobart College (BA)Ohio State University (MA, PhD)",No
Albio Sires,Albio,Sires,New Jersey's 8th,Representative,Democratic,2006 Special,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Won,N/A,1/26/1951,70,RepSires,81058818750,RepSiresNJ13,Mayor of West New YorkNew Jersey General Assembly,Saint Peter's University (BA)Middlebury College (MA),No
Alex Mooney,Alex,Mooney,West Virginia's 2nd,Representative,Republican,2014,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Won,N/A,6/5/1971,50,RepAlexMooney,CongressmanAlexMooney,,Maryland Senate,Dartmouth College (BA),No
Alexandria Ocasio-Cortez,Alexandria,Ocasio-Cortez,New York's 14th,Representative,Democratic,2018,Woman,Hispanic - Puerto Rican,Christian - Roman Catholic,No,Won,N/A,10/13/1989,31,RepAOC,,,BartenderPresidential Campaign staffer,Boston University (BA),No
Alma Adams,Alma,Adams,North Carolina's 12th,Representative,Democratic,2014 Special,Woman,Black - African-American,Christian - Protestant - Baptist,No,Won,N/A,5/27/1946,75,RepAdams,CongresswomanAdams,,North Carolina House of Representatives,"North Carolina A&T State University (BS, MS)Ohio State University (PhD)",No
Ami Bera,Ami,Bera,California's 7th,Representative,Democratic,2012,Man,Asian - Indian,Unitarian Universalist,No,Won,N/A,3/2/1965,56,RepBera,RepAmiBera,repamibera,Chief Medical Officer of Sacramento County,"University of California, Irvine (BS, MD)",No
André Carson,André,Carson,Indiana's 7th,Representative,Democratic,2008 Special,Man,Black - African-American,Muslim,No,Won,N/A,10/16/1974,46,RepAndreCarson,CongressmanAndreCarson,repandrecarson,Indianapolis City-County Council,Concordia University Wisconsin (BA)Indiana Wesleyan University (MS),No
Andrew Clyde,Andrew,Clyde,Georgia's 9th,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Open - Ran for Senate,N/A,11/22/1963,57,,,,U.S. Navy Commander,University of Notre Dame (BA)Bethel University (BBA)University of Georgia (MBA),Yes
Andrew Garbarino,Andrew,Garbarino,New York's 2nd,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,N/A,9/27/1984,36,RepGarbarino,,,New York State Assembly,George Washington University (BA)Hofstra University (JD),No
Andy Barr,Andy,Barr,Kentucky's 6th,Representative,Republican,2012,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,7/24/1973,47,RepAndyBarr,RepAndyBarr,RepAndyBarr,Attorney,University of Virginia (BA)University of Kentucky (JD),No
Andy Biggs,Andy,Biggs,Arizona's 5th,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Mormon,No,Won,N/A,11/7/1958,62,RepAndyBiggsAZ,RepAndyBiggs,,Arizona Senate,"Brigham Young University (BA)University of Arizona (JD)Arizona State University, Phoenix (MA)",No
