State,Area Name,2010 population estimate,2019 population estimate,Births in 2019,Deaths in 2019,International migration 2019,Domestic migration 2019,Net migration 2019,Rate of birth 2019,Rate of death 2019,"Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",Estimate of people of all ages in poverty 2019,Estimated percent of people of all ages in poverty 2019,Estimate of people age 0-17 in poverty 2019,Estimated percent of people age 0-17 in poverty 2019,Estimate of related children age 5-17 in families in poverty 2019,Estimate of median household income 2019,Total male,Total female,Two or more races male,Two or more races female,White male,White female,Black male,Black female,American Indian or Alaska Native male,American Indian or Alaska Native female,Asian male,Asian female,Pacific Islander male,Pacific Islander female,Hispanic male,Hispanic female
,United States,"308,758,105","328,239,523","3,791,712","2,835,038","595,348",0,"595,348",,,"35,715,625","52,168,981","49,864,428","44,462,605",19.6,28.6,27.4,24.4,"26,472,261","59,472,748","63,756,905","70,920,162",12.0,27.0,28.9,32.1,"39,490,096",12.3,"12,000,470",16.8,"8,258,906","65,712",,,,,,,,,,,,,,,,
AL,Alabama,"4,780,125","4,903,185","57,313","53,879","2,772","9,387","12,159",11.7,11.0,"714,081","877,216","746,495","549,608",24.7,30.4,25.9,19.0,"458,922","1,022,839","993,344","845,772",13.8,30.8,29.9,25.5,"747,478",15.6,"233,890",21.9,"161,670","51,771",,,,,,,,,,,,,,,,
AL,Autauga County,"54,597","55,869",624,541,-16,270,254,11.2,9.7,"5,872","9,332","7,413","4,972",21.3,33.8,26.9,18.0,"4,291","12,551","10,596","9,929",11.5,33.6,28.4,26.6,"6,723",12.1,"2,040",15.9,"1,376","58,233",27092,28777,538,507,21372,22191,5514,6270,274,301,441,509,55,49,884,787
AL,Baldwin County,"182,265","223,234","2,304","2,326",80,"5,297","5,377",10.4,10.5,"17,258","28,428","28,178","22,146",18.0,29.6,29.3,23.1,"13,893","41,797","47,274","48,148",9.2,27.7,31.3,31.9,"22,360",10.1,"6,323",13.5,"4,641","59,871",108247,114987,2042,2125,96730,102373,10346,11008,1818,1785,1405,1946,180,187,5545,4989
AL,Barbour County,"27,455","24,686",256,312,13,-141,-128,10.3,12.6,"6,679","6,124","4,025","2,068",35.3,32.4,21.3,10.9,"4,812","6,396","4,676","2,080",26.8,35.6,26.0,11.6,"5,909",27.1,"2,050",41.0,"1,468","35,972",13064,11622,172,136,6517,5863,6432,5685,182,115,72,80,38,23,629,488
AL,Bibb County,"22,915","22,394",240,252,10,31,41,10.7,11.3,"4,984","4,838","2,756",962,36.8,35.7,20.4,7.1,"3,386","7,256","3,848","1,678",20.9,44.9,23.8,10.4,"4,101",20.3,"1,147",25.9,808,"47,918",11929,10465,124,139,8869,8551,3010,1897,106,101,49,48,28,12,343,280
AL,Blount County,"57,322","57,826",651,657,6,59,65,11.3,11.4,"9,960","12,136","8,371","3,235",29.6,36.0,24.8,9.6,"7,763","13,299","13,519","5,210",19.5,33.4,34.0,13.1,"9,324",16.3,"2,750",21.0,"2,067","52,902",28472,29354,379,435,27608,28559,658,618,400,420,147,165,60,37,2950,2632
AL,Bullock County,"10,911","10,101",109,109,-1,-72,-73,10.8,10.8,"2,992","2,667","1,325",586,39.5,35.2,17.5,7.7,"1,798","2,860","1,587",856,25.3,40.3,22.3,12.1,"2,537",30.0,825,39.9,591,"31,906",5508,4593,76,57,1696,1110,3753,3418,72,67,21,21,47,38,449,415
AL,Butler County,"20,940","19,448",213,272,18,-141,-123,10.9,13.9,"4,439","4,749","3,146","1,433",32.2,34.5,22.9,10.4,"2,066","6,244","3,279","2,230",15.0,45.2,23.7,16.1,"4,124",21.6,"1,460",34.6,"1,024","39,944",9024,10424,99,111,4915,5398,3941,4924,77,86,186,129,9,7,153,136
AL,Calhoun County,"118,526","113,605","1,269","1,532",14,-475,-461,11.1,13.4,"19,318","23,856","19,576","11,265",26.1,32.2,26.4,15.2,"12,315","25,940","26,233","14,620",15.6,32.8,33.2,18.5,"18,988",17.2,"5,878",24.6,"3,994","47,747",54481,59124,1143,1171,42381,45045,11846,13637,691,677,675,881,151,150,2358,2256
AL,Chambers County,"34,169","33,254",354,441,6,-265,-259,10.6,13.2,"8,778","7,863","5,517","2,339",35.8,32.1,22.5,9.5,"4,372","8,739","7,515","3,163",18.4,36.7,31.6,13.3,"6,415",19.6,"2,058",30.4,"1,538","42,015",15895,17359,208,213,9343,10009,6351,7276,132,118,274,160,17,13,472,399
AL,Cherokee County,"25,979","26,196",222,343,-3,306,303,8.5,13.1,"6,138","5,865","3,186","1,636",36.5,34.9,18.9,9.7,"3,478","7,598","5,391","2,407",18.4,40.3,28.6,12.8,"4,121",15.9,"1,135",23.3,795,"45,982",12926,13270,199,223,12218,12589,642,604,202,207,62,88,9,9,229,220
AL,Chilton County,"43,632","44,428",551,503,35,184,219,12.4,11.4,"8,757","9,264","5,307","2,574",33.8,35.8,20.5,9.9,"5,474","13,348","7,401","3,823",18.2,44.4,24.6,12.7,"7,044",16.0,"2,404",23.1,"1,643","49,692",21800,22628,321,290,19257,19985,2438,2508,236,226,144,166,64,43,1990,1646
AL,Choctaw County,"13,858","12,589",133,176,-2,-199,-201,10.5,13.8,"3,704","3,670","2,182","1,013",35.0,34.7,20.6,9.6,"1,737","3,515","2,964","1,113",18.6,37.7,31.8,11.9,"2,811",22.6,745,30.4,508,"39,808",5938,6651,46,46,3537,3734,2399,2906,32,31,17,24,2,3,55,73
AL,Clarke County,"25,833","23,622",266,324,-5,-232,-237,11.2,13.6,"5,165","6,667","3,733","2,137",29.2,37.7,21.1,12.1,"3,259","7,005","4,456","2,050",19.4,41.8,26.6,12.2,"4,281",18.4,"1,425",28.6,"1,014","43,822",11153,12469,112,116,6150,6565,4947,5818,95,122,69,74,7,11,162,148
AL,Clay County,"13,930","13,235",143,187,-2,-12,-14,10.8,14.1,"3,322","3,690","1,992",763,34.0,37.8,20.4,7.8,"2,205","3,577","2,678",999,23.3,37.8,28.3,10.6,"2,156",16.6,685,26.0,433,"40,562",6447,6788,131,152,5520,5758,949,1046,77,98,31,36,3,3,231,204
AL,Cleburne County,"14,972","14,910",187,189,-11,-86,-97,12.5,12.6,"3,536","3,417","1,701",879,37.1,35.8,17.8,9.2,"2,198","3,980","2,687","1,616",21.0,38.0,25.6,15.4,"1,945",13.3,591,17.9,427,"51,276",7340,7570,93,94,7083,7261,243,282,70,83,24,36,13,3,212,175
AL,Coffee County,"49,955","52,342",599,570,34,334,368,11.5,10.9,"7,755","7,571","7,985","5,574",26.8,26.2,27.6,19.3,"4,967","9,615","12,667","8,044",14.1,27.2,35.9,22.8,"7,734",15.0,"2,664",21.8,"1,927","57,299",25742,26600,861,778,20422,20732,4822,5108,679,692,567,761,181,138,2189,1982
AL,Colbert County,"54,428","55,241",630,719,73,256,329,11.4,13.0,"9,972","12,665","9,474","5,273",26.7,33.9,25.3,14.1,"5,783","14,740","11,366","7,070",14.8,37.8,29.2,18.1,"7,998",14.6,"2,204",19.4,"1,537","46,683",26408,28833,509,537,21899,23528,4378,5133,412,408,209,275,34,41,925,864
AL,Conecuh County,"13,236","12,067",123,182,1,-167,-166,10.1,14.9,"2,984","3,518","1,877",851,32.3,38.1,20.3,9.2,"1,384","4,516","1,805","1,128",15.7,51.1,20.4,12.8,"2,662",22.2,845,34.7,597,"41,539",5758,6309,82,82,3176,3222,2569,3080,68,59,29,28,6,5,150,127
AL,Coosa County,"11,756","10,663",89,122,13,42,55,8.4,11.5,"2,831","3,164","1,597",663,34.3,38.3,19.3,8.0,"1,652","3,327","2,221","1,059",20.0,40.3,26.9,12.8,"1,789",17.1,478,27.8,339,"42,024",5335,5328,71,79,3670,3584,1637,1726,72,60,20,26,10,13,152,128
AL,Covington County,"37,762","37,049",413,543,-5,235,230,11.2,14.7,"8,115","8,473","5,975","3,142",31.6,33.0,23.2,12.2,"4,366","9,819","8,119","4,020",16.6,37.3,30.8,15.3,"6,269",17.2,"2,133",26.6,"1,499","44,836",17927,19122,317,313,15537,16371,2314,2674,272,257,115,127,12,11,342,345
AL,Crenshaw County,"13,893","13,772",137,179,3,-14,-11,9.9,13.0,"3,700","2,689","1,840","1,039",39.9,29.0,19.9,11.2,"2,016","3,830","2,157","1,687",20.8,39.5,22.3,17.4,"2,289",16.8,771,25.0,542,"43,309",6685,7087,155,140,5038,5180,1610,1865,87,96,97,82,9,5,185,148
